cust_id,acc_name,acc_id
569960996,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
339597280,Extended Warranty - 4th Year,31
343564070,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
794453126,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
320907836,Extended Warranty - 4th Year,31
591427636,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
420588631,Handlebar Brace Pad,9
420588631,Large Engine Guard,29
420588631,Short Flyscreen Kit,25
420588631,Machined Swingarm Bobbin Kit,13
420588631,Aluminium Sumpguard,14
420588631,Machined Bar End Finisher Kit,15
420588631,Rsu Finisher Kit,32
252850180,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
891101892,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
306867160,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
164250315,Roadside Assistance 2nd Year + 3rd Year,26
789878546,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
117490910,Extended Warranty - 4th Year + 5th Year,23
387912264,Roadside Assistance 2nd Year + 3rd Year,26
387912264,Extended Warranty - 4th Year + 5th Year,23
425650712,Extended Warranty - 4th Year + 5th Year,23
418778722,Extended Warranty - 4th Year + 5th Year,23
717199260,Extended Warranty - 4th Year + 5th Year,23
925346486,Compact Engine Guard,24
925346486,Tall Flyscreen Kit,12
925346486,Aluminium Sumpguard,14
925346486,Silver AMC,27
925346486,Extended Warranty - 4th Year + 5th Year,23
984623089,Extended Warranty - 4th Year + 5th Year,23
417440936,Extended Warranty - 4th Year + 5th Year,23
727148718,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
210164860,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
701509320,Large Engine Guard,29
546275157,Extended Warranty - 4th Year,31
793344667,Extended Warranty - 4th Year,31
252929265,Extended Warranty - 4th Year,31
779679145,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
608720257,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
854459892,Handlebar Brace Pad,9
854459892,Tall Flyscreen Kit,12
854459892,Aluminium Sumpguard,14
854459892,Large Engine Guard,29
854459892,Machined Bar End Finisher Kit,15
854459892,Touring Mirror Kit,18
133925772,Extended Warranty - 4th Year + 5th Year,23
828245177,Roadside Assistance 2nd Year + 3rd Year,26
277442911,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
886628268,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
441158422,Bar End Mirror Kit,28
441158422,Machined Swingarm Bobbin Kit,13
441158422,Dual Seat Cowl,33
441158422,Roadside Assistance 2nd Year + 3rd Year,26
441158422,Extended Warranty - 4th Year + 5th Year,23
204784654,Dual Seat Cowl,33
204784654,Silver AMC,27
204784654,Extended Warranty - 4th Year + 5th Year,23
374992887,Gold AMC,20
844148520,Gold AMC,20
610819137,Extended Warranty - 4th Year + 5th Year,23
581679459,Gold AMC,20
581679459,Extended Warranty - 4th Year + 5th Year,23
835405023,Gold AMC,20
835405023,Extended Warranty - 4th Year + 5th Year,23
184650881,Gold AMC,20
184650881,Extended Warranty - 4th Year + 5th Year,23
710198085,Bar End Mirror Kit,28
710198085,Compact Engine Guard,24
710198085,Dual Seat Cowl,33
710198085,Roadside Assistance 2nd Year + 3rd Year,26
710198085,Gold AMC,20
710198085,Extended Warranty - 4th Year + 5th Year,23
971399564,Extended Warranty - 4th Year + 5th Year,23
101444566,Bar End Mirror Kit,28
101444566,Compact Engine Guard,24
101444566,"Single Seat, Rider",34
101444566,Single Seat Cowl,35
